firstAffiliation,nation,city_state,cleaned_city_state
"infectious disease division, massachusetts general hospital, boston.",usa," response: boston, ma","boston, ma"
"department of critical care medicine, monash university, melbourne, victoria, australia.",australia,,
"department of vascular surgery, central clinic of athens, athens, greece.",greece,,
"chu dijon-bourgogne, médecine intensive-réanimation, dijon, france.",france,,
"hopital nord franche-comte, montbeliard, france.",france,,
"ch de bourges, réanimation polyvalente, bourges, france.",france,,
"university hospitals bristol and weston nhs foundation trust, bristol, england.",uk (united kingdom),,
"burke internal medicine & research, burke, virginia.",usa," response: burke, virginia.","burke, virginia."
"beth lsreal deaconess medical center, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"alberta health services, calgary, canada.",canada,,
"departments of biomedical and health informatics, university of missouri, kansas city.",usa," kansas city, mo","kansas city, mo"
"health resources and services administration, us department of health and human services, rockville, maryland.",usa," response: rockville, maryland.","rockville, maryland."
"department of community health sciences, cumming school of medicine, university of calgary, calgary, alberta, canada.",canada,,
"pediatric division, shamir medical center, zerifin, israel.",israel,,
"department of surgery and cancer, imperial college london, london, united kingdom.",united kingdom,,
"department of cardiology, beijing tongren hospital, beijing, china.",china,,
"t.h. chan school of medicine, university of massachusetts, worcester.",usa," worcester, ma","worcester, ma"
"division of neonatology, department of pediatrics, stanford school of medicine, stanford, california.",usa," response: stanford, ca","stanford, ca"
"division of maternal and fetal medicine, department of obstetrics and gynecology, stanford school of medicine, stanford, california.",usa," response: stanford, ca","stanford, ca"
"intensive care department, college of medicine, king saud bin abdulaziz university for health sciences, king abdullah international medical research center, ministry of national guard health affairs, riyadh, saudi arabia.",saudi arabia,,
"department of structural heart disease, fuwai hospital, beijing, china.",china,,
"department of pediatrics, division of neonatology, children's hospital of philadelphia and perelman school of medicine at university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"division of general internal medicine, harvard medical school and massachusetts general hospital, boston.",usa," Boston, MA","Boston, MA"
"division of general and geriatric medicine, department of internal medicine, university of kansas school of medicine, kansas city.",usa," response: kansas city, ks

","kansas city, ks"
"intensive care unit, raymond poincaré hospital, paris, france.",france,,
"private practice, huntington beach, california.",usa," huntington beach, california.","huntington beach, california."
"division of infectious diseases, university of louisville school of medicine, louisville, kentucky.",usa," louisville, kentucky.","louisville, kentucky."
"division of hematology and oncology, department of medicine, perelman school of medicine, university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"departments of pediatrics and health policy, vanderbilt center for child health policy, nashville, tennessee.",usa," nashville, tennessee.","nashville, tennessee."
"rancho palos verdes, california.",usa," rancho palos verdes, ca","rancho palos verdes, ca"
"chu d'angers, département de médecine intensive-réanimation et médecine hyperbare, angers, france.",france,,
"neurology, cambridge health alliance, lexington, massachusetts.",usa," lexington, massachusetts.","lexington, massachusetts."
"groupe hospitalier bretagne sud, service de réanimation polyvalente, lorient, france.",france,,
"chu de brest, médecine intensive réanimation, brest, france.",france,,
"chr d'orléans, médecine intensive réanimation, orléans, france.",france,,
"center for gun violence solutions, johns hopkins bloomberg school of public health, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"the firearm injury and policy research program, harborview injury prevention and research center, departments of pediatrics and epidemiology, university of washington, seattle.",usa," Seattle, wa","Seattle, wa"
"department of emergency medicine, university of colorado anschutz school of medicine, aurora.",usa," aurora, co

So the function would","aurora, co"
"rocky mountain mental illness research, education, and clinical center for suicide prevention, veterans health administration, aurora, colorado.",usa," response: aurora, colorado.","aurora, colorado."
"centre for global mental health, institute of psychiatry, psychology, and neuroscience, king's college london, london, united kingdom.",united kingdom,,
"centre hospitalo-universitaire de saint-etienne, université jean monnet, saint-etienne, france.",france,,
"department of microbiology and immunology, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of veterans affairs health services and development center for health information and communication and department of medicine, richard l. roudebush va medical center, indianapolis, indiana.",usa," indianapolis, in

So the function","indianapolis, in"
"université de paris, hôpital européen georges pompidou, paris, france.",france,,
"department of medicine in the division of cardiology, feinberg school of medicine, northwestern university, chicago, illinois.",usa," Chicago, illinois.","Chicago, illinois."
"division of allergy, immunology, and bone marrow transplantation, department of pediatrics, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"innovative genomics institute, university of california, berkeley.",usa," response: berkeley, ca","berkeley, ca"
"centre hospitalo-universitaire de brest, université de bretagne occidentale, brest, france.",france,,
"quantitative health sciences, cleveland clinic, cleveland, ohio.",usa," cleveland, ohio.","cleveland, ohio."
"department of medicine, washington university school of medicine in st louis, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"long beach clinical trials, long beach, california.",usa," long beach, california.","long beach, california."
"division of nephrology, mcgill university health centre, montreal, quebec, canada.",canada,,
"berkeley institute for data science, university of california, berkeley.",usa," response: berkeley, ca","berkeley, ca"
